[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7454522286293421320
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7454193652458425608
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7454042656142920968
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7452691717175741704
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7452569215648795922
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7452385446581046535
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7452334283357719815
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7451386098875518215
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7451378763993992456
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7451374739890720008
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7451143872953978130
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7448994195089493266
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7447347701731036424
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7446787050801532167
[2025-05-14T06:52:26.430+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7445947525749558536
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7445284290176339218
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7444918111012179218
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7444538584016751880
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7441232482713767186
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7441075883340746002
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7441062886274764050
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7440877607345720583
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7439215028269485320
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7439166215316114696
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7437713010346478855
[2025-05-14T06:52:26.431+0000] {logging_mixin.py:190} INFO - https://www.tiktok.com/@hoaminzy_hoadambut/video/7434917829230595335
[2025-05-14T06:52:26.444+0000] {logging_mixin.py:190} INFO - New videos: 0
[2025-05-14T06:52:26.445+0000] {logging_mixin.py:190} INFO - Downloaded 0 new videos.
[2025-05-14T06:52:26.580+0000] {python.py:240} INFO - Done. Returned value was: []
[2025-05-14T06:52:26.597+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2025-05-14T06:52:26.598+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=tiktok_videos_scraper_dag, task_id=tiktok_videos_scraper, run_id=manual__2025-05-14T06:52:12.408990+00:00, execution_date=20250514T065212, start_date=20250514T065214, end_date=20250514T065226
[2025-05-14T06:52:26.638+0000] {local_task_job_runner.py:261} INFO - Task exited with return code 0
[2025-05-14T06:52:26.653+0000] {taskinstance.py:3891} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2025-05-14T06:52:26.655+0000] {local_task_job_runner.py:240} INFO - ::endgroup::
